start,target,elapsed_task_time,method,game_mode,D,W,ID
"(1, 3)","(1, 7)",6.3019537925720215,hotcorner,memory,1199.16,200.0,2.81
"(2, 4)","(1, 7)",2.415583372116089,hotcorner,memory,834.63,200.0,2.37
"(3, 5)","(1, 7)",4.800170183181763,hotcorner,memory,502.19,200.0,1.81
"(3, 4)","(1, 7)",6.701438188552856,hotcorner,memory,756.43,200.0,2.26
"(3, 4)","(1, 7)",6.801468849182129,hotcorner,memory,756.43,200.0,2.26
"(1, 4)","(1, 7)",2.482385635375977,hotcorner,memory,993.43,200.0,2.58
"(3, 4)","(1, 7)",7.769804239273071,hotcorner,memory,756.43,200.0,2.26
"(3, 3)","(1, 7)",2.304939985275269,hotcorner,memory,1011.57,200.0,2.6
"(3, 3)","(1, 7)",2.057371139526367,hotcorner,memory,1011.57,200.0,2.6
"(3, 4)","(1, 7)",6.502164602279663,hotcorner,memory,756.43,200.0,2.26
"(2, 5)","(1, 7)",7.903222322463989,hotcorner,memory,613.68,200.0,2.02
"(2, 4)","(1, 7)",2.9806230068206787,hotcorner,memory,834.63,200.0,2.37
"(1, 3)","(1, 7)",3.531491994857788,hotcorner,memory,1199.16,200.0,2.81
"(2, 3)","(1, 7)",7.9368486404418945,hotcorner,memory,1071.3,200.0,2.67
"(3, 5)","(1, 7)",2.8350143432617188,hotcorner,memory,502.19,200.0,1.81
"(1, 5)","(1, 7)",6.4464271068573,hotcorner,memory,816.65,200.0,2.35
"(1, 5)","(1, 7)",2.646995782852173,hotcorner,memory,816.65,200.0,2.35
"(2, 4)","(1, 7)",3.1034035682678223,hotcorner,memory,834.63,200.0,2.37
"(2, 4)","(1, 7)",3.827957630157471,hotcorner,memory,834.63,200.0,2.37
"(2, 4)","(1, 7)",2.949612855911255,hotcorner,memory,834.63,200.0,2.37
"(2, 3)","(1, 7)",5.230205059051514,hotcorner,memory,1071.3,200.0,2.67
"(2, 3)","(1, 7)",7.40236496925354,hotcorner,memory,1071.3,200.0,2.67
"(2, 5)","(1, 7)",3.064717531204224,hotcorner,memory,613.68,200.0,2.02
"(1, 4)","(1, 7)",2.7448558807373047,hotcorner,memory,993.43,200.0,2.58
"(3, 4)","(1, 7)",9.876850605010986,hotcorner,memory,756.43,200.0,2.26
"(2, 5)","(1, 7)",1.7052452564239502,hotcorner,memory,613.68,200.0,2.02
"(3, 3)","(1, 7)",1.6794776916503906,hotcorner,memory,1011.57,200.0,2.6
"(2, 5)","(1, 7)",5.683421611785889,hotcorner,memory,613.68,200.0,2.02
"(1, 3)","(1, 7)",3.38671875,hotcorner,memory,1199.16,200.0,2.81
"(3, 4)","(1, 7)",5.291867971420288,hotcorner,memory,756.43,200.0,2.26
"(3, 3)","(1, 7)",3.080530881881714,hotcorner,memory,1011.57,200.0,2.6
"(3, 5)","(1, 7)",1.7958154678344729,hotcorner,memory,502.19,200.0,1.81
"(3, 4)","(1, 7)",2.586820840835572,hotcorner,memory,756.43,200.0,2.26
"(3, 4)","(1, 7)",2.278559446334839,hotcorner,memory,756.43,200.0,2.26
"(3, 4)","(2, 3)",4.063654184341431,head_turn,chase,385.33,271.94,1.27
"(2, 3)","(3, 5)",8.331994533538818,head_turn,chase,587.44,261.89,1.7
"(3, 5)","(1, 5)",13.446663618087769,head_turn,chase,576.0,288.0,1.58
"(1, 5)","(3, 4)",5.245409250259399,head_turn,chase,630.33,281.67,1.7
"(3, 4)","(1, 3)",4.787143707275391,head_turn,chase,630.33,281.67,1.7
"(1, 3)","(2, 5)",7.261773586273193,head_turn,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",5.309228658676148,head_turn,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",15.322216510772703,head_turn,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",10.956116676330566,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(2, 3)",6.583442449569702,head_turn,chase,385.33,271.94,1.27
"(2, 3)","(3, 5)",10.921490669250488,head_turn,chase,587.44,261.89,1.7
"(3, 5)","(1, 5)",6.298762083053589,head_turn,chase,576.0,288.0,1.58
"(1, 5)","(3, 4)",30.087502241134644,head_turn,chase,630.33,281.67,1.7
"(3, 4)","(1, 3)",3.819805145263672,head_turn,chase,630.33,281.67,1.7
"(1, 3)","(2, 5)",7.374565601348877,head_turn,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",7.814812421798706,head_turn,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",11.029719352722168,head_turn,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",23.45216083526612,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(2, 3)",2.682605266571045,head_turn,chase,385.33,271.94,1.27
"(2, 3)","(3, 5)",4.932452201843262,head_turn,chase,587.44,261.89,1.7
"(3, 5)","(1, 5)",10.572691917419434,head_turn,chase,576.0,288.0,1.58
"(1, 5)","(3, 4)",4.918823957443237,head_turn,chase,630.33,281.67,1.7
"(3, 4)","(1, 3)",3.370310544967652,head_turn,chase,630.33,281.67,1.7
"(1, 3)","(2, 5)",8.926674127578735,head_turn,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",4.833144426345825,head_turn,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",2.0051987171173096,head_turn,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",3.478667020797729,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(3, 5)",10.632948637008669,head_turn,chase,630.33,281.67,1.7
"(3, 5)","(1, 5)",4.006983757019043,head_turn,chase,576.0,288.0,1.58
"(1, 5)","(3, 4)",4.884373426437378,head_turn,chase,630.33,281.67,1.7
"(3, 4)","(1, 3)",2.8217787742614746,head_turn,chase,630.33,281.67,1.7
"(1, 3)","(2, 5)",10.129778861999512,head_turn,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",4.717973232269287,head_turn,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",3.7196218967437744,head_turn,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",6.675164222717285,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(3, 5)",2.8688855171203613,head_turn,memory,630.33,281.67,1.7
"(3, 5)","(2, 5)",3.257244110107422,head_turn,memory,288.0,288.0,1.0
"(2, 5)","(3, 5)",2.844346761703491,head_turn,memory,288.0,288.0,1.0
"(3, 5)","(2, 3)",2.6615447998046875,head_turn,memory,587.44,261.89,1.7
"(2, 3)","(1, 5)",5.178978204727173,head_turn,memory,587.44,261.89,1.7
"(1, 5)","(3, 4)",2.2437756061553955,head_turn,memory,630.33,281.67,1.7
"(3, 4)","(3, 5)",2.076704740524292,head_turn,memory,256.0,255.0,1.0
"(3, 5)","(2, 4)",2.1606929302215576,head_turn,memory,385.33,271.94,1.27
"(2, 4)","(3, 5)",5.397490739822388,head_turn,memory,385.33,271.94,1.27
"(3, 5)","(1, 4)",3.47812294960022,head_turn,memory,630.33,281.67,1.7
"(1, 4)","(3, 3)",2.431703805923462,head_turn,memory,630.33,281.67,1.7
"(3, 3)","(3, 4)",3.939919471740722,head_turn,memory,256.0,255.0,1.0
"(3, 4)","(2, 4)",2.1612353324890137,head_turn,memory,288.0,288.0,1.0
"(2, 4)","(3, 4)",5.012614727020264,head_turn,memory,288.0,288.0,1.0
